What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
40-44,Male,Australia,Master’s degree,Other,Enterprise,20+,I do not know,"250,000-299,999","$10,000-$99,999",Local development environments,1-2 years,Python,Used TPU,2-3 years
22-24,Male,India,Bachelor’s degree,Other,Small,0,No (we do not use ML methods),"4,000-4,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
22-24,Male,India,Master’s degree,Data Scientist,Medium,20+,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,2-3 years
22-24,Female,United States of America,Bachelor’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Used TPU,3-4 years
55-59,Male,Netherlands,Master’s degree,Other,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,Local development environments,5-10 years,Python,Never,< 1 years
30-34,Male,Germany,Master’s degree,Statistician,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999","$1000-$9,999",Basic statistical software,5-10 years,R,Used TPU,4-5 years
30-34,Male,United States of America,Master’s degree,Product/Project Manager,Enterprise,20+,I do not know,"90,000-99,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,2-3 years
50-54,Female,United States of America,Master’s degree,Data Analyst,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","> $100,000 ($USD)",Basic statistical software,10-20 years,SQL,Never,1-2 years
18-21,Male,Australia,Bachelor’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$100-$999,Other,1-2 years,Python,Never,2-3 years
35-39,Male,France,Master’s degree,Product/Project Manager,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,"> $100,000 ($USD)",Other,3-5 years,Python,Never,4-5 years
