iter	RMSE
0	7.181466756
1	6.888773344
2	6.577694716
3	6.266291697
4	6.044612461
5	5.837271203
6	5.655351459
7	5.488988588
8	5.33441899
9	5.178818227
10	5.054996232
11	4.887927336
12	4.759650355
13	4.656593035
14	4.553715612
15	4.446326421
16	4.359138045
17	4.26688879
18	4.191923604
19	4.118490924
20	4.049949231
21	3.958617157
22	3.898965928
23	3.831414325
24	3.754882571
25	3.696452213
26	3.638179107
27	3.58141973
28	3.499424647
29	3.436292921
30	3.380593651
31	3.332883712
32	3.283975989
33	3.246680594
34	3.207012304
35	3.165709332
36	3.124534778
37	3.08428648
38	3.041093097
39	3.007677394
40	2.970417763
41	2.930680061
42	2.895444915
43	2.863014864
44	2.829314049
45	2.803290346
46	2.775644048
47	2.744864006
48	2.720903667
49	2.69410628
50	2.664453117
51	2.621836657
52	2.592472841
53	2.568850631
54	2.54420817
55	2.519712782
56	2.493117319
57	2.47217927
58	2.453053379
59	2.428650528
60	2.409285813
61	2.385882971
62	2.366755398
63	2.347787856
64	2.328346124
65	2.309024959
66	2.289100738
67	2.268158911
68	2.250208827
69	2.229938163
70	2.2109584
71	2.196209384
72	2.179170526
73	2.159778632
74	2.143681994
75	2.128005763
76	2.113849141
77	2.098559303
78	2.081893344
79	2.063417462
80	2.048161644
81	2.033555914
82	2.01448949
83	1.998845242
84	1.984711169
85	1.970563037
86	1.955984107
87	1.943001445
88	1.930186384
89	1.915628511
90	1.899823195
91	1.887020155
92	1.87456823
93	1.863830644
94	1.849905015
95	1.836200202
96	1.823382426
97	1.809184437
98	1.795874703
99	1.783609722
100	1.77063554
101	1.759571463
102	1.748073633
103	1.73592667
104	1.721959284
105	1.710173265
106	1.699011764
107	1.688199823
108	1.677304867
109	1.663868566
110	1.652124236
111	1.640604562
112	1.6304426
113	1.61955691
114	1.610265743
115	1.599476279
116	1.589876105
117	1.581060866
118	1.571185501
119	1.560306483
120	1.551477106
121	1.540892619
122	1.532301085
123	1.523395181
124	1.514103584
125	1.506009106
126	1.497323947
127	1.487123145
128	1.478580006
129	1.469943641
130	1.462856547
131	1.454349268
132	1.444186613
133	1.434675731
134	1.426663388
135	1.419477103
136	1.411403223
137	1.403408119
138	1.396579939
139	1.388117849
140	1.380743238
141	1.371977423
142	1.363727076
143	1.357728612
144	1.350620883
145	1.343895355
146	1.337364069
147	1.330833738
148	1.32280333
149	1.317111804
150	1.311875639
151	1.305693273
152	1.300201005
153	1.2937696
154	1.287795195
155	1.282404538
156	1.275224799
157	1.269574526
158	1.264317398
159	1.257550204
160	1.250582588
161	1.245719833
162	1.238954022
163	1.233249838
164	1.226933478
165	1.221308829
166	1.216229329
167	1.211657174
168	1.206762971
169	1.201778218
170	1.196075739
171	1.190778427
172	1.185846287
173	1.181810818
174	1.176643623
175	1.170597124
176	1.164859565
177	1.159712379
178	1.155413127
179	1.149473795
180	1.144805877
181	1.139753857
182	1.134186749
183	1.130554686
184	1.126284681
185	1.121517471
186	1.117250075
187	1.11244359
188	1.106806168
189	1.102487221
190	1.097248954
191	1.093517057
192	1.088930845
193	1.084748456
194	1.080441824
195	1.07608275
196	1.07197439
197	1.068276355
198	1.06446272
199	1.060336245
200	1.056106532
201	1.05312599
202	1.049505381
203	1.044571079
204	1.040388337
205	1.037121728
206	1.033423001
207	1.030041353
208	1.026325337
209	1.022923918
210	1.019671221
211	1.015653614
212	1.012015358
213	1.009334333
214	1.006664991
215	1.003501049
216	0.9999840773
217	0.9955304518
218	0.992390828
219	0.9885222776
220	0.9846842502
221	0.9799323524
222	0.9764190853
223	0.9731773551
224	0.9700373353
225	0.9667896496
226	0.9640112243
227	0.9596376347
228	0.9564106095
229	0.9537589213
230	0.950142863
231	0.94727952
232	0.9441504855
233	0.9411436357
234	0.9380177628
235	0.9345826988
236	0.9318540977
237	0.9283958777
238	0.9249552075
239	0.9215782691
240	0.9193840887
241	0.9154041361
242	0.9120225625
243	0.9094070227
244	0.906143839
245	0.9032417028
246	0.9007182051
247	0.8975538522
248	0.892896253
249	0.890563372
250	0.8876387571
251	0.8848644893
252	0.882345705
253	0.8797125577
254	0.8774199549
255	0.8746528566
256	0.8724313296
257	0.8696350093
258	0.8674297795
259	0.864502055
260	0.8623126746
261	0.8576708929
262	0.8556050366
263	0.8527849001
264	0.8502807832
265	0.8477211092
266	0.8449358273
267	0.8429266369
268	0.8405747311
269	0.8376113806
270	0.8353033021
271	0.8328235448
272	0.8301078417
273	0.827393119
274	0.8249257297
275	0.821934182
276	0.8198781505
277	0.8176416942
278	0.8149873144
279	0.8121663575
280	0.8100652338
281	0.8080816924
282	0.8047778479
283	0.8025714987
284	0.8003313769
285	0.7975987849
286	0.7954922404
287	0.792649014
288	0.7882219361
289	0.7861759024
290	0.7837111009
291	0.7820062418
292	0.7793695601
293	0.776637847
294	0.7744350316
295	0.7724512286
296	0.7704298911
297	0.7679536598
298	0.7656490123
299	0.763736953
