iter	Passed	Remaining
0	4	1392
1	10	1595
2	15	1582
3	21	1558
4	26	1545
5	32	1602
6	36	1542
7	42	1561
8	47	1551
9	51	1505
10	56	1494
11	62	1498
12	66	1463
13	70	1440
14	76	1459
15	80	1435
16	84	1409
17	90	1422
18	95	1410
19	99	1389
20	104	1385
21	109	1385
22	113	1366
23	117	1351
24	123	1359
25	127	1345
26	131	1328
27	137	1334
28	142	1335
29	146	1319
30	151	1316
31	156	1312
32	160	1298
33	164	1288
34	170	1288
35	174	1276
36	177	1263
37	182	1257
38	186	1248
39	190	1237
40	194	1226
41	198	1219
42	202	1209
43	206	1198
44	210	1190
45	214	1184
46	218	1175
47	222	1166
48	226	1162
49	232	1161
50	236	1153
51	240	1144
52	244	1139
53	248	1133
54	252	1124
55	256	1116
56	260	1110
57	264	1102
58	270	1104
59	275	1103
60	280	1100
61	285	1096
62	291	1096
63	296	1094
64	301	1089
65	305	1084
66	310	1079
67	314	1074
68	319	1071
69	325	1068
70	329	1063
71	334	1057
72	339	1055
73	344	1052
74	349	1048
75	354	1043
76	359	1042
77	364	1037
78	369	1032
79	375	1032
80	380	1028
81	385	1024
82	392	1025
83	397	1022
84	406	1027
85	411	1024
86	418	1023
87	425	1024
88	432	1024
89	437	1021
90	445	1022
91	450	1018
92	457	1018
93	462	1013
94	469	1012
95	475	1009
96	479	1003
97	487	1004
98	493	1001
99	498	997
100	505	995
101	510	990
102	517	989
103	523	986
104	527	979
105	533	976
106	539	972
107	543	965
108	548	961
109	553	956
110	557	948
111	561	942
112	566	938
113	570	930
114	574	923
115	579	919
116	584	914
117	588	907
118	592	901
119	598	897
120	602	891
121	606	884
122	611	879
123	616	874
124	620	868
125	624	862
126	629	858
127	634	852
128	639	847
129	645	844
130	650	839
131	654	832
132	660	828
133	664	823
134	668	817
135	674	813
136	679	808
137	682	801
138	686	795
139	692	791
140	696	785
141	700	779
142	706	775
143	710	769
144	714	763
145	718	757
146	723	753
147	727	747
148	731	741
149	737	737
150	742	732
151	745	726
152	749	720
153	755	716
154	759	710
155	763	704
156	768	699
157	773	694
158	776	688
159	780	683
160	786	678
161	790	673
162	794	667
163	800	663
164	805	658
165	808	652
166	812	647
167	817	642
168	821	636
169	825	631
170	830	626
171	835	621
172	839	616
173	843	611
174	849	607
175	854	602
176	858	596
177	864	592
178	869	587
179	872	581
180	877	576
181	882	572
182	886	566
183	890	561
184	896	557
185	900	551
186	904	546
187	908	541
188	914	536
189	917	531
190	921	525
191	928	522
192	933	517
193	937	512
194	943	507
195	947	502
196	951	497
197	956	492
198	961	488
199	965	482
200	969	477
201	975	473
202	979	467
203	982	462
204	987	457
205	991	452
206	995	447
207	999	441
208	1004	437
209	1008	432
210	1012	427
211	1016	422
212	1023	417
213	1027	412
214	1031	407
215	1037	403
216	1042	398
217	1045	393
218	1051	388
219	1056	384
220	1059	378
221	1065	374
222	1070	369
223	1074	364
224	1078	359
225	1083	354
226	1088	349
227	1091	344
228	1096	339
229	1101	335
230	1105	330
231	1109	325
232	1114	320
233	1119	315
234	1123	310
235	1127	305
236	1132	301
237	1136	296
238	1140	291
239	1145	286
240	1150	281
241	1154	276
242	1158	271
243	1164	267
244	1168	262
245	1171	257
246	1176	252
247	1181	247
248	1185	242
249	1189	237
250	1195	233
251	1200	228
252	1203	223
253	1209	219
254	1213	214
255	1217	209
256	1221	204
257	1227	199
258	1231	194
259	1235	190
260	1241	185
261	1246	180
262	1249	175
263	1254	171
264	1259	166
265	1262	161
266	1266	156
267	1273	152
268	1277	147
269	1282	142
270	1287	137
271	1294	133
272	1299	128
273	1308	124
274	1313	119
275	1320	114
276	1325	110
277	1331	105
278	1337	100
279	1342	95
280	1346	91
281	1352	86
282	1356	81
283	1361	76
284	1366	71
285	1371	67
286	1375	62
287	1380	57
288	1384	52
289	1389	47
290	1394	43
291	1398	38
292	1404	33
293	1409	28
294	1414	23
295	1419	19
296	1424	14
297	1429	9
298	1435	4
299	1439	0
